pays Name;série Name;2005 [YR2005];2010 [YR2010];2015 [YR2015]
Bénin;Espérance de vie à la naissance, femmes (années);58.793;60.717;62.082
Bénin;Espérance de vie à la naissance, hommes (années);55.85;57.869;59.1
Bénin;Taux de mortalité infantile (pour 1 000 naissances vivantes);77.3;70.6;64.3
Bénin;PIB par habitant ($ US courants);822.785201409895;1036.53459416252;1076.79670153022
Guinée;Espérance de vie à la naissance, femmes (années);53.643;57.514;59.993
Guinée;Espérance de vie à la naissance, hommes (années);52.694;56.016;59.003
Guinée;Taux de mortalité infantile (pour 1 000 naissances vivantes);84;74.6;68.7
Guinée;PIB par habitant ($ US courants);322.415540033465;672.424930360214;769.255475433161
Mali;Espérance de vie à la naissance, femmes (années);52.683;55.871;58.194
Mali;Espérance de vie à la naissance, hommes (années);51.429;54.62;56.818
Mali;Taux de mortalité infantile (pour 1 000 naissances vivantes);88.1;76.7;67
Mali;PIB par habitant ($ US courants);489.022820909143;710.274249372168;751.47288662264
Niger;Espérance de vie à la naissance, femmes (années);54.207;58.351;61.789
Niger;Espérance de vie à la naissance, hommes (années);52.644;56.364;59.536
Niger;Taux de mortalité infantile (pour 1 000 naissances vivantes);78.5;62;51.9
Niger;PIB par habitant ($ US courants);321.723661184348;476.869532167304;484.238632609296
Sénégal;Espérance de vie à la naissance, femmes (années);62.094;65.829;68.634
Sénégal;Espérance de vie à la naissance, hommes (années);59.081;62.62;64.683
Sénégal;Taux de mortalité infantile (pour 1 000 naissances vivantes);53.2;42.6;36.4
Sénégal;PIB par habitant ($ US courants);998.121554115451;1271.58328084525;1219.24941513302
